ano,total,totalPD,execPD,superiorPD,totalACTC,execACTC,superiorACTC
2000,15.839.1,12.560.7,9.349.3,3.211.4,3.278.4,3.278.4,0
2001,17.655.6,13.973.0,10.444.4,3.528.6,3.682.6,3.682.6,0
2002,19.756.7,15.031.9,10.957.4,4.074.6,4.724.8,4.724.8,0
2003,22.278.8,17.169.0,12.590.3,4.578.7,5.109.8,5.109.8,0
2004,25.437.7,18.861.6,14.109.4,4.752.2,6.576.1,6.576.1,0
2005,28.179.8,21.759.3,16.764.3,4.995.0,6.420.5,6.420.5,0
2006,30.540.9,23.807.0,18.018.3,5.788.7,6.733.9,6.733.9,0
2007,37.468.2,29.416.4,21.331.0,8.085.4,8.051.8,8.051.8,0
2008,45.420.6,35.110.8,25.730.8,9.380.0,10.309.8,10.309.8,0
2009,51.398.4,37.285.3,27.713.1,9.572.2,14.113.1,14.113.1,0
2010,62.223.4,45.072.9,33.662.6,11.410.2,17.150.5,17.150.5,0
2011,68.155.0,49.875.9,35.981.5,13.894.3,18.279.2,18.279.2,0
2012,76.432.7,54.254.6,38.547.6,15.707.0,22.178.1,22.178.1,0
2013,85.646.4,63.748.6,45.149.0,18.599.6,21.897.8,21.897.8,0
2014,96.755.0,73.468.2,51.697.5,21.770.7,23.286.8,23.286.8,0
2015,102.042.9,80.501.8,58.108.3,22.393.5,21.541.1,21.541.1,0
2016,95.602.1,79.228.3,53.937.6,25.290.6,16.373.8,16.373.8,0
2017(3),99.849.9,82.792.2,56.619.4,26.172.8,17.057.7,17.057.7,0